# Matter power spectrum P(k) at redshift z=1000
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.729175749057e-01       1.565075075066e-03 
       6.775759301301e-01       1.546894387692e-03 
       6.822342854956e-01       1.529006468829e-03 
       6.868926409995e-01       1.511397473535e-03 
       6.915509966388e-01       1.494066227457e-03 
       6.962093524109e-01       1.477008012115e-03 
       7.008677083131e-01       1.460217939022e-03 
       7.055260643427e-01       1.443693826961e-03 
       7.101844204974e-01       1.427430941661e-03 
       7.148427767746e-01       1.411425709564e-03 
       7.195011331720e-01       1.395674385795e-03 
       7.241594896871e-01       1.380173664179e-03 
       7.288178463179e-01       1.364919810202e-03 
       7.334762030620e-01       1.349906953003e-03 
       7.381345599173e-01       1.335129760619e-03 
       7.427929168816e-01       1.320582417700e-03 
       7.474512739531e-01       1.306262042079e-03 
       7.521096311296e-01       1.292161684234e-03 
       7.567679884092e-01       1.278275813072e-03 
       7.614263457900e-01       1.264599538802e-03 
       7.660847032701e-01       1.251127753105e-03 
       7.707430608479e-01       1.237855212153e-03 
       7.754014185214e-01       1.224778813181e-03 
       7.800597762890e-01       1.211894341399e-03 
       7.847181341489e-01       1.199198230779e-03 
       7.893764920996e-01       1.186686514391e-03 
       7.940348501395e-01       1.174356985809e-03 
       7.986932082669e-01       1.162205788883e-03 
       8.033515664804e-01       1.150230822336e-03 
       8.080099247785e-01       1.138429359478e-03 
       8.126682831597e-01       1.126798317741e-03 
       8.173266416225e-01       1.115336058769e-03 
       8.219850001656e-01       1.104038216243e-03 
       8.266433587877e-01       1.092902412056e-03 
       8.313017174873e-01       1.081925796283e-03 
       8.359600762633e-01       1.071105435860e-03 
       8.406184351142e-01       1.060438427553e-03 
       8.452767940389e-01       1.049919009936e-03 
       8.499351530362e-01       1.039552115720e-03 
       8.545935121049e-01       1.029326405310e-03 
       8.592518712438e-01       1.019241726248e-03 
       8.639102304517e-01       1.009296370869e-03 
       8.685685897276e-01       9.994866916383e-04 
       8.732269490704e-01       9.898105519890e-04 
       8.778853084789e-01       9.802653088094e-04 
       8.825436679522e-01       9.708488492949e-04 
       8.872020274892e-01       9.615593605116e-04 
       8.918603870890e-01       9.523935415086e-04 
       8.965187467505e-01       9.433508172177e-04 
       9.011771064728e-01       9.344285765318e-04 
       9.058354662549e-01       9.256248642665e-04 
       9.104938260960e-01       9.169376049004e-04 
       9.151521859951e-01       9.083656557849e-04 
       9.198105459513e-01       8.999063301298e-04 
       9.244689059638e-01       8.915581133637e-04 
       9.291272660318e-01       8.833187939858e-04 
       9.337856261543e-01       8.751877609185e-04 
       9.384439863306e-01       8.671608418043e-04 
       9.431023465599e-01       8.592388855340e-04 
       9.477607068414e-01       8.514174689936e-04 
       9.524190671743e-01       8.436968324842e-04 
       9.570774275579e-01       8.360745086522e-04 
       9.617357879914e-01       8.285488874372e-04 
       9.663941484742e-01       8.211188348051e-04 
       9.710525090054e-01       8.137818200811e-04 
       9.757108695845e-01       8.065365688873e-04 
       9.803692302106e-01       7.993820932602e-04 
       9.850275908833e-01       7.923161333131e-04 
       9.896859516017e-01       7.853377934770e-04 
       9.943443123653e-01       7.784462814654e-04 
       9.990026731734e-01       7.716393954581e-04 
       1.003661034025e+00       7.649161244802e-04 
