# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                
       1.622821661434e-02      -1.934287158538e+00      -8.899081439229e+00      -9.235801812535e+00       0.000000000000e+00      -2.135210337632e+00      -9.157143572927e+00       5.463616064816e-01       5.465274373095e-01 
       1.641499986427e-02      -1.939655404453e+00      -9.059226295245e+00      -9.410894173547e+00       0.000000000000e+00      -2.143299458159e+00      -9.330072921845e+00       5.455462856466e-01       5.456905228614e-01 
       1.660182248078e-02      -1.946687235588e+00      -9.220519664592e+00      -9.587615845421e+00       0.000000000000e+00      -2.151707355660e+00      -9.504604949845e+00       5.447309354094e-01       5.448539589345e-01 
       1.678868441499e-02      -1.955292944398e+00      -9.382969503356e+00      -9.765960159031e+00       0.000000000000e+00      -2.160314411019e+00      -9.680732827221e+00       5.439157070682e-01       5.440180078501e-01 
       1.697558565096e-02      -1.965374244426e+00      -9.546541621730e+00      -9.945917622185e+00       0.000000000000e+00      -2.168999396921e+00      -9.858445066459e+00       5.431003593422e-01       5.431825290343e-01 
       1.716252620469e-02      -1.976823291076e+00      -9.711221882991e+00      -1.012748015906e+01       0.000000000000e+00      -2.177643206818e+00      -1.003773239967e+01       5.422848389869e-01       5.423475621965e-01 
       1.734950612314e-02      -1.989524580116e+00      -9.876998169241e+00      -1.031063997767e+01       0.000000000000e+00      -2.186129153468e+00      -1.021858588917e+01       5.414691206099e-01       5.415131657087e-01 
       1.753652548340e-02      -2.003354787005e+00      -1.004384757233e+01      -1.049538857945e+01       0.000000000000e+00      -2.194343393495e+00      -1.040099540262e+01       5.406530926183e-01       5.406793030992e-01 
       1.772358439187e-02      -2.018178078853e+00      -1.021179594022e+01      -1.068171860998e+01       0.000000000000e+00      -2.202177623984e+00      -1.058495408765e+01       5.398368680916e-01       5.398461531617e-01 
       1.791068298355e-02      -2.033878097337e+00      -1.038073523182e+01      -1.086962114417e+01       0.000000000000e+00      -2.209527091757e+00      -1.077044756019e+01       5.390200559528e-01       5.390133829369e-01 
