# Matter power spectrum P(k) at redshift z=100
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.333507904750e-02       1.168644250392e+00 
       6.369613653157e-02       1.168214178810e+00 
       6.406382076883e-02       1.167761817343e+00 
       6.443850028988e-02       1.167282912547e+00 
       6.482057303426e-02       1.166778409557e+00 
       6.521046948067e-02       1.166245078109e+00 
       6.560865619553e-02       1.165684403433e+00 
       6.601563986728e-02       1.165095390638e+00 
       6.643197190642e-02       1.164472582538e+00 
       6.685825370716e-02       1.163818498565e+00 
       6.729514268480e-02       1.163129070302e+00 
       6.774335922685e-02       1.162402165181e+00 
       6.820369472379e-02       1.161640319173e+00 
       6.867702088105e-02       1.160832675033e+00 
       6.916430055722e-02       1.159983161862e+00 
       6.966660042829e-02       1.159087032830e+00 
       7.018510584571e-02       1.158143319180e+00 
       7.072113834205e-02       1.157142215804e+00 
       7.127617634594e-02       1.156084441953e+00 
       7.185187980511e-02       1.154963810426e+00 
       7.245011959009e-02       1.153774479013e+00 
       7.307301277248e-02       1.152511045301e+00 
       7.372296515385e-02       1.151164763050e+00 
       7.440272278064e-02       1.149727086901e+00 
       7.511543463797e-02       1.148188995782e+00 
       7.586472929332e-02       1.146538846702e+00 
       7.665480898401e-02       1.144761505572e+00 
       7.749056553004e-02       1.142841099859e+00 
       7.837772350447e-02       1.140759544872e+00 
       7.932301725998e-02       1.138491111094e+00 
       8.033440953427e-02       1.136008724839e+00 
       8.142136005142e-02       1.133274457005e+00 
       8.259515195529e-02       1.130248256415e+00 
       8.386928031984e-02       1.126873025396e+00 
       8.525989700772e-02       1.123091830069e+00 
       8.678628360425e-02       1.118806587071e+00 
       8.847127856040e-02       1.113904006422e+00 
       9.034150072002e-02       1.108255659584e+00 
       9.242707360863e-02       1.101691473249e+00 
       9.476036844603e-02       1.094008158181e+00 
       9.737312969431e-02       1.084970017408e+00 
       1.002914701215e-01       1.074327113397e+00 
       1.035290409814e-01       1.061854525695e+00 
       1.070803914216e-01       1.047401877208e+00 
       1.109181600952e-01       1.030961167052e+00 
       1.149970046128e-01       1.012695090128e+00 
       1.192632136017e-01       9.929328972479e-01 
       1.236651485364e-01       9.721125493621e-01 
       1.281600201997e-01       9.507182573771e-01 
       1.327159431157e-01       9.292162875159e-01 
       1.373108376800e-01       9.080126592218e-01 
       1.419301435621e-01       8.874232030330e-01 
       1.465645572513e-01       8.676628652870e-01 
       1.512082514273e-01       8.488450170680e-01 
       1.558576210254e-01       8.309866790147e-01 
       1.605104526700e-01       8.140243055719e-01 
       1.651653936864e-01       7.978331272975e-01 
       1.698216196753e-01       7.822513563579e-01 
       1.744786289903e-01       7.670993791321e-01 
       1.791361166268e-01       7.522051937922e-01 
       1.837938971896e-01       7.374210098835e-01 
       1.884518579683e-01       7.226389558519e-01 
       1.931099303997e-01       7.077990362165e-01 
       1.977680727292e-01       6.928916491397e-01 
       2.024262594827e-01       6.779540266826e-01 
       2.070844750757e-01       6.630604596790e-01 
       2.117427099341e-01       6.483098067572e-01 
       2.164009581397e-01       6.338145927344e-01 
       2.210592160009e-01       6.196848344048e-01 
       2.257174811849e-01       6.060177560300e-01 
       2.303757521903e-01       5.928874584509e-01 
       2.350340280266e-01       5.803427042561e-01 
       2.396923080196e-01       5.683996706460e-01 
       2.443505916916e-01       5.570357257654e-01 
       2.490088786900e-01       5.462101113987e-01 
       2.536671687418e-01       5.358604033777e-01 
       2.583254616270e-01       5.259084454176e-01 
       2.629837571611e-01       5.162736309519e-01 
       2.676420551848e-01       5.068729610869e-01 
       2.723003555573e-01       4.976398732152e-01 
       2.769586581517e-01       4.885354418287e-01 
       2.816169628525e-01       4.795061224115e-01 
       2.862752695532e-01       4.705308854604e-01 
       2.909335781553e-01       4.616066693307e-01 
       2.955918885674e-01       4.527550548811e-01 
       3.002502007038e-01       4.440045422022e-01 
       3.049085144847e-01       4.353961804045e-01 
       3.095668298348e-01       4.269741851733e-01 
       3.142251466839e-01       4.187784502863e-01 
       3.188834649657e-01       4.108403469667e-01 
       3.235417846178e-01       4.031800110364e-01 
       3.282001055814e-01       3.958042532640e-01 
       3.328584278010e-01       3.887098923724e-01 
       3.375167512243e-01       3.818841271913e-01 
       3.421750758017e-01       3.753072334107e-01 
       3.468334014865e-01       3.689545171274e-01 
       3.514917282343e-01       3.627974318067e-01 
       3.561500560032e-01       3.568058051411e-01 
       3.608083847533e-01       3.509502683822e-01 
       3.654667144469e-01       3.452035145959e-01 
       3.701250450481e-01       3.395449642800e-01 
       3.747833765229e-01       3.339601870112e-01 
